URL,Car Name,Car Year,Location,Price,Description,Mileage (KM),Engine Capacity (L),پیشرانه,Acceleration (s),Fuel Consumption (L/100km)
https://bama.ir/car/detail-atrlg3ja-zotye-dl5-1.5literturbo-2023,,,تهران / پاتریس لومومبا,,"اتو گالری گلچین 
فول وارداتی-کی‌لس واستارتر-تهویه مطبوع اتومات-مالتی مدیا-ترمز پارک برقی با اتوهلد
آینه الکتروکرومیک-دوربین عقب و مانیتور-کروز کنترل-سنسور نور-شیب سنج-داخل چرم-دیلایت-اتولایت-کنترل پایداری الکترونیکی (ESC)
گارانتی فعال
فروش یا معاوضه با خودرو کارکرده",0.0,1.5,4 سیلندر توربوشارژ (4G15T),,
https://bama.ir/car/detail-zgmxqfo8-hyundai-i20-2015,Hyundai I20,2015,تهران / شریعتی,1360000000.0,"فول با سانروف و گرمکن و کی لس و استارتر
تک برگ سند
با نامه کارشناسی",145000.0,1.4,4 سیلندر,12.9,6.0
https://bama.ir/car/detail-k9iuwtav-nissan-maximair-at-1381,Nissan Maximair At,2002,کرج / عظیمیه,900000000.0,تازه تمام تعمیرات ماشین رو انجام دادم ۲۵۰ میلیون هزینه کردم فاکتورش موجودو قطعاتی که لازمه همش تعویض شده تا برج ۹ سال ۱۴۰۴ بیمه داره,190000.0,3.0,6 سیلندر,9.6,10.7
https://bama.ir/car/detail-c3wno9qf-peugeot-207-manualpanorama-1403,Peugeot 207 Manualpanorama,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,1.6,4 سیلندر TU5,11.6,6.6
https://bama.ir/car/detail-qv72wtzh-peugeot-207-manualpanorama-1403,Peugeot 207 Manualpanorama,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,1.6,4 سیلندر TU5,11.6,6.6
https://bama.ir/car/detail-oqbm7jhz-peugeot-207-manualpanorama-1403,Peugeot 207 Manualpanorama,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,1.6,4 سیلندر TU5,11.6,6.6
https://bama.ir/car/detail-3jrfy9qw-peugeot-207-attu5p-1403,Peugeot 207 Attu5P,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,1.6,4 سیلندر TU5P,12.6,7.4
https://bama.ir/car/detail-vwujev6a-peugeot-207-automaticpanoramatu5p-1403,Peugeot 207 Automaticpanoramatu5P,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,,,,
https://bama.ir/car/detail-zxbfjrmi-peugeot-207-automaticpanoramatu5p-1403,Peugeot 207 Automaticpanoramatu5P,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,,,,
https://bama.ir/car/detail-8rn0yhz7-peugeot-207-automaticpanoramatu5p-1403,Peugeot 207 Automaticpanoramatu5P,2024,تهران / میرداماد,,⚫️شماره ثبت (۶۲۹۶۱۰) و دارای شناسه ملی ❌❌ (بدون کمیسیون و کارمزد)❌❌ ⚫️پرداخت وجه درب منزل پس از تایید کارشناس مد نظر شما ⚫️یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال ⚫️سند آزاد ⚫️هزینه انتقال سند بعهده مجموعه ⚫️ساعت کاری | ۸~٢٠|,0.0,,,,
